Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0        705435  [avrora.c-print] 11      emit | pop32 to R22...
   0        710787  [avrora.c-print] 11      emit | Store R22... to local[4]
   0        713920  [avrora.c-print] 11      emit | s: 0
   0        718159  [avrora.c-print] 11      emit | [LOCAL.GET 3]
   0        722924  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0        725968  [avrora.c-print] 11      emit | push32
   0        728968  [avrora.c-print] 11      emit | s: 1
   0        733252  [avrora.c-print] 11      emit | [I32.CONST 0]
   0        737209  [avrora.c-print] 11      emit | load 0 to R22.
   0        740175  [avrora.c-print] 11      emit | push32
   0        743173  [avrora.c-print] 11      emit | s: 2
   0        747900  [avrora.c-print] 11      emit | [I32.STORE 11]
   0        751860  [avrora.c-print] 11      emit | pop32 val to R22.
   0        756393  [avrora.c-print] 11      emit | pop32 offset to R18.
   0        759802  [avrora.c-print] 11      emit | s: 0
   0        764041  [avrora.c-print] 11      emit | [LOCAL.GET 2]
   0        769053  [avrora.c-print] 11      emit | Ld R22. from param[16]
   0        772100  [avrora.c-print] 11      emit | push32
   0        775100  [avrora.c-print] 11      emit | s: 1
   0        779333  [avrora.c-print] 11      emit | [LOCAL.SET 5]
   0        783047  [avrora.c-print] 11      emit | pop32 to R22...
   0        788399  [avrora.c-print] 11      emit | Store R22... to local[8]
   0        791532  [avrora.c-print] 11      emit | s: 0
   0        795420  [avrora.c-print] 11      emit | [BLOCK nil]
   0        799710  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0        804722  [avrora.c-print] 11      emit | Ld R22. from param[24]
   0        807769  [avrora.c-print] 11      emit | push32
   0        810769  [avrora.c-print] 11      emit | s: 1
   0        815829  [avrora.c-print] 11      emit | [BR_IF 0]
   0        818827  [avrora.c-print] 11      emit | s: 0
   0        821908  [avrora.c-print] 11      emit | br 4
   0        827833  [avrora.c-print] 11      emit | push/pop optimized
   0        833408  [avrora.c-print] 11      emit | push/pop optimized
