Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0        676136  [avrora.c-print] 11      emit | [I32.CONST 0]
   0        680093  [avrora.c-print] 11      emit | load 0 to R22.
   0        683059  [avrora.c-print] 11      emit | push32
   0        686057  [avrora.c-print] 11      emit | s: 1
   0        690290  [avrora.c-print] 11      emit | [LOCAL.SET 9]
   0        694004  [avrora.c-print] 11      emit | pop32 to R22...
   0        699596  [avrora.c-print] 11      emit | Store R22... to local[16]
   0        702729  [avrora.c-print] 11      emit | s: 0
   0        706501  [avrora.c-print] 11      emit | [LOOP nil]
   0        710795  [avrora.c-print] 11      emit | [LOCAL.GET 1]
   0        715807  [avrora.c-print] 11      emit | Ld R22. from param[64]
   0        718854  [avrora.c-print] 11      emit | push32
   0        721854  [avrora.c-print] 11      emit | s: 1
   0        726087  [avrora.c-print] 11      emit | [LOCAL.GET 6]
   0        730852  [avrora.c-print] 11      emit | Ld R22. from local[4]
   0        733896  [avrora.c-print] 11      emit | push32
   0        736896  [avrora.c-print] 11      emit | s: 2
   0        741180  [avrora.c-print] 11      emit | [I32.CONST 2]
   0        745137  [avrora.c-print] 11      emit | load 2 to R22.
   0        748103  [avrora.c-print] 11      emit | push32
   0        751101  [avrora.c-print] 11      emit | s: 3
   0        756611  [avrora.c-print] 11      emit | [I32.Shl | I32ShrS | I32ShrU]
   0        763594  [avrora.c-print] 11      emit | push/pop optimized
   0        769025  [avrora.c-print] 11      emit | push/pop optimized
   0        774200  [avrora.c-print] 11      emit | push/pop optimized
   0        779703  [avrora.c-print] 11      emit | [I32.ADD]
   0        783185  [avrora.c-print] 11      emit | pop32 to R22.
   0        786906  [avrora.c-print] 11      emit | pop32 to R18.
   0        791903  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0        794877  [avrora.c-print] 11      emit | push32
   0        797875  [avrora.c-print] 11      emit | s: 1
   0        802348  [avrora.c-print] 11      emit | [LOCAL.SET 10]
   0        806062  [avrora.c-print] 11      emit | pop32 to R22...
   0        811654  [avrora.c-print] 11      emit | Store R22... to local[20]
   0        814787  [avrora.c-print] 11      emit | s: 0
   0        819026  [avrora.c-print] 11      emit | [LOCAL.GET 7]
   0        823791  [avrora.c-print] 11      emit | Ld R22. from local[8]
   0        826835  [avrora.c-print] 11      emit | push32
   0        829835  [avrora.c-print] 11      emit | s: 1
   0        834308  [avrora.c-print] 11      emit | [LOCAL.SET 11]
   0        838022  [avrora.c-print] 11      emit | pop32 to R22...
   0        843614  [avrora.c-print] 11      emit | Store R22... to local[24]
   0        846747  [avrora.c-print] 11      emit | s: 0
   0        850986  [avrora.c-print] 11      emit | [LOCAL.GET 8]
   0        855991  [avrora.c-print] 11      emit | Ld R22. from local[12]
   0        859035  [avrora.c-print] 11      emit | push32
   0        862035  [avrora.c-print] 11      emit | s: 1
   0        866508  [avrora.c-print] 11      emit | [LOCAL.SET 12]
   0        870222  [avrora.c-print] 11      emit | pop32 to R22...
   0        875814  [avrora.c-print] 11      emit | Store R22... to local[28]
   0        878947  [avrora.c-print] 11      emit | s: 0
   0        883186  [avrora.c-print] 11      emit | [LOCAL.GET 9]
   0        888191  [avrora.c-print] 11      emit | Ld R22. from local[16]
   0        891235  [avrora.c-print] 11      emit | push32
   0        894235  [avrora.c-print] 11      emit | s: 1
   0        898708  [avrora.c-print] 11      emit | [LOCAL.SET 13]
   0        902422  [avrora.c-print] 11      emit | pop32 to R22...
   0        908014  [avrora.c-print] 11      emit | Store R22... to local[32]
   0        911147  [avrora.c-print] 11      emit | s: 0
   0        915386  [avrora.c-print] 11      emit | [LOCAL.GET 9]
   0        920391  [avrora.c-print] 11      emit | Ld R22. from local[16]
   0        923435  [avrora.c-print] 11      emit | push32
   0        926435  [avrora.c-print] 11      emit | s: 1
   0        930908  [avrora.c-print] 11      emit | [LOCAL.SET 14]
   0        934622  [avrora.c-print] 11      emit | pop32 to R22...
   0        940214  [avrora.c-print] 11      emit | Store R22... to local[36]
   0        943347  [avrora.c-print] 11      emit | s: 0
   0        947119  [avrora.c-print] 11      emit | [LOOP nil]
   0        951413  [avrora.c-print] 11      emit | [LOCAL.GET 2]
   0        956425  [avrora.c-print] 11      emit | Ld R22. from param[60]
   0        959472  [avrora.c-print] 11      emit | push32
   0        965523  [avrora.c-print] 11      emit | push/pop optimized
   0        970920  [avrora.c-print] 11      emit | push/pop optimized
   0        976061  [avrora.c-print] 11      emit | push/pop optimized
   0        980946  [avrora.c-print] 11      emit | push/pop optimized
   0        985575  [avrora.c-print] 11      emit | push/pop optimized
   0       1074929  [avrora.c-print] 11      emit | s: 1
   0       1079402  [avrora.c-print] 11      emit | [LOCAL.GET 13]
   0       1084407  [avrora.c-print] 11      emit | Ld R22. from local[32]
   0       1087451  [avrora.c-print] 11      emit | push32
   0       1090451  [avrora.c-print] 11      emit | s: 2
   0       1096043  [avrora.c-print] 11      emit | [I32.CONST 65535]
   0       1100960  [avrora.c-print] 11      emit | load 65535 to R22.
   0       1103926  [avrora.c-print] 11      emit | push32
   0       1106924  [avrora.c-print] 11      emit | s: 3
   0       1110578  [avrora.c-print] 11      emit | [I32.(logic)]
   0       1114374  [avrora.c-print] 11      emit | s: 2
   0       1118665  [avrora.c-print] 11      emit | [I32.CONST 2]
   0       1122622  [avrora.c-print] 11      emit | load 2 to R22.
   0       1125588  [avrora.c-print] 11      emit | push32
   0       1128586  [avrora.c-print] 11      emit | s: 3
   0       1134096  [avrora.c-print] 11      emit | [I32.Shl | I32ShrS | I32ShrU]
   0       1138490  [avrora.c-print] 11      emit | [I32.ADD]
   0       1141972  [avrora.c-print] 11      emit | pop32 to R22.
   0       1145693  [avrora.c-print] 11      emit | pop32 to R18.
   0       1150690  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       1153664  [avrora.c-print] 11      emit | push32
   0       1156662  [avrora.c-print] 11      emit | s: 1
   0       1161135  [avrora.c-print] 11      emit | [LOCAL.GET 10]
