Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0        675081  [avrora.c-print] 11      emit | [I32.(ComparisonInstruction)]
   0        682304  [avrora.c-print] 11      emit | push/pop optimized
   0        687872  [avrora.c-print] 11      emit | push/pop optimized
   0        692910  [avrora.c-print] 11      emit | push/pop optimized
   0        697755  [avrora.c-print] 11      emit | push/pop optimized
   0        703003  [avrora.c-print] 11      emit | [BR_IF 0]
   0        706001  [avrora.c-print] 11      emit | s: 0
   0        709082  [avrora.c-print] 11      emit | br 4
   0        713541  [avrora.c-print] 11      emit | [LOCAL.GET 3]
   0        718306  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0        721350  [avrora.c-print] 11      emit | push32
   0        724350  [avrora.c-print] 11      emit | s: 1
   0        728583  [avrora.c-print] 11      emit | [LOCAL.SET 3]
   0        732297  [avrora.c-print] 11      emit | pop32 to R22...
   0        737649  [avrora.c-print] 11      emit | Store R22... to local[0]
   0        740782  [avrora.c-print] 11      emit | s: 0
   0        744207  [avrora.c-print] 11      emit | [BR 1]
   0        747092  [avrora.c-print] 11      emit | 330
   0        751051  [avrora.c-print] 11      emit | [END]:0x74f2
   0        754509  [avrora.c-print] 11      emit | of block 4
   0        758811  [avrora.c-print] 11      emit | [LOCAL.GET 4]
   0        763576  [avrora.c-print] 11      emit | Ld R22. from local[4]
   0        766620  [avrora.c-print] 11      emit | push32
   0        769620  [avrora.c-print] 11      emit | s: 1
   0        773853  [avrora.c-print] 11      emit | [LOCAL.GET 3]
   0        778618  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0        781662  [avrora.c-print] 11      emit | push32
   0        784662  [avrora.c-print] 11      emit | s: 2
   0        788895  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0        793907  [avrora.c-print] 11      emit | Ld R22. from param[28]
   0        796954  [avrora.c-print] 11      emit | push32
   0        799954  [avrora.c-print] 11      emit | s: 3
   0        804187  [avrora.c-print] 11      emit | [LOCAL.GET 3]
   0        808952  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0        811996  [avrora.c-print] 11      emit | push32
   0        814996  [avrora.c-print] 11      emit | s: 4
   0        819280  [avrora.c-print] 11      emit | [I32.CONST 2]
   0        823237  [avrora.c-print] 11      emit | load 2 to R22.
   0        826203  [avrora.c-print] 11      emit | push32
   0        829201  [avrora.c-print] 11      emit | s: 5
   0        834711  [avrora.c-print] 11      emit | [I32.Shl | I32ShrS | I32ShrU]
   0        839103  [avrora.c-print] 11      emit | [I32.ADD]
   0        842585  [avrora.c-print] 11      emit | pop32 to R22.
   0        846306  [avrora.c-print] 11      emit | pop32 to R18.
   0        852331  [avrora.c-print] 11      emit | push/pop optimized
   0        858153  [avrora.c-print] 11      emit | push/pop optimized
   0        949885  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0        952859  [avrora.c-print] 11      emit | push32
   0        955857  [avrora.c-print] 11      emit | s: 3
   0        960228  [avrora.c-print] 11      emit | [I32.Load 0]
   0        964536  [avrora.c-print] 11      emit | pop32 offset to R22.
   0        969677  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0        974689  [avrora.c-print] 11      emit | Ld R22. from param[28]
   0        977736  [avrora.c-print] 11      emit | push32
   0        980736  [avrora.c-print] 11      emit | s: 4
   0        984969  [avrora.c-print] 11      emit | [LOCAL.GET 4]
   0        989734  [avrora.c-print] 11      emit | Ld R22. from local[4]
   0        992778  [avrora.c-print] 11      emit | push32
   0        995778  [avrora.c-print] 11      emit | s: 5
   0       1000062  [avrora.c-print] 11      emit | [I32.CONST 2]
   0       1004019  [avrora.c-print] 11      emit | load 2 to R22.
   0       1006985  [avrora.c-print] 11      emit | push32
   0       1009983  [avrora.c-print] 11      emit | s: 6
   0       1015493  [avrora.c-print] 11      emit | [I32.Shl | I32ShrS | I32ShrU]
   0       1019885  [avrora.c-print] 11      emit | [I32.ADD]
   0       1023367  [avrora.c-print] 11      emit | pop32 to R22.
