196	10668
1381	13824
1606	14848
10088	14944
20548	14948
28761	14957
37237	14961
70017	14998
78982	15050
88440	15054
98593	15083
132130	15135
144966	15187
157719	15239
196644	15291
209688	15323
219429	15355
231682	15387
270387	15419
283203	15451
296023	15483
333415	15515
346256	15522
356369	15515
362549	15533
397459	15573
406352	15580
415008	15593
423782	15433
431513	15444
464966	15433
472697	15447
481573	15433
489305	15445
524293	15433
530489	15447
540805	15433
547097	15446
557413	15433
590098	16473
603172	19629
611081	23629
620406	27725
1049928	23725
1056883	20569
1063318	23725
1074438	27725
1085504	23725
1116455	20569
1124432	23725
1135456	27725
1144980	23725
1152898	20569
1185540	23725
1196564	27725
1206089	23725
1214006	20569
1246552	23725
1257576	27725
1267203	23725
1275024	20569
1283090	23725
1317154	27725
1328214	23725
1336132	20569
1344102	23725
1378166	27725
1389328	23725
1397144	20569
1405555	20578
1414035	20569
1446656	20578
1455378	20569
1525558	20565
1533477	20528
1541432	20524
1573952	20495
1581907	20477
1589859	20437
1597811	20405
1605760	20145
1612177	20141
1644803	19917
1652744	19821
1660723	18797
1668672	15641
1676615	15632
2102358	11536
2110296	11528
